EmployeeNumber,Age,Gender,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
10350,29,Male,No,Non-Travel,746,2,3,Life Sciences,1,4,61,3,2,Sales Executive,3,Married,4649,16928,1,Y,No,14,3,1,80,1,4,3,2,4,3,0,2
10351,42,Male,No,Travel_Rarely,544,2,1,Technical Degree,1,3,52,3,1,Human Resources,3,Divorced,2696,24017,0,Y,Yes,11,3,3,80,1,4,5,3,3,2,1,0
10352,32,Female,No,Travel_Rarely,1062,2,3,Medical,1,3,75,3,1,Laboratory Technician,2,Married,2370,3956,1,Y,No,13,3,3,80,1,8,4,3,8,0,0,7
10353,48,Female,No,Travel_Rarely,530,29,1,Medical,1,1,91,3,3,Manager,3,Married,12504,23978,3,Y,No,21,4,2,80,1,15,3,1,0,0,0,0
10354,37,Male,No,Travel_Rarely,1319,6,3,Medical,1,3,51,4,2,Research Scientist,1,Divorced,5974,17001,4,Y,Yes,13,3,1,80,2,13,2,3,7,7,6,7
10355,30,Female,No,Non-Travel,641,25,2,Technical Degree,1,4,85,3,2,Sales Executive,3,Married,4736,6069,7,Y,Yes,12,3,2,80,1,4,2,4,2,2,2,2
10356,26,Male,No,Travel_Rarely,933,1,3,Life Sciences,1,3,57,3,2,Sales Executive,3,Married,5296,20156,1,Y,No,17,3,2,80,1,8,3,3,8,7,7,7
10357,42,Male,No,Travel_Rarely,1332,2,4,Other,1,1,98,2,2,Healthcare Representative,4,Single,6781,17078,3,Y,No,23,4,2,80,0,14,6,3,1,0,0,0
10358,21,Female,Yes,Travel_Frequently,756,1,1,Technical Degree,1,1,99,2,1,Sales Representative,2,Single,2174,9150,1,Y,Yes,11,3,3,80,0,3,3,3,3,2,1,2
10359,36,Female,No,Non-Travel,845,1,5,Medical,1,4,45,3,2,Sales Executive,4,Single,6653,15276,4,Y,No,15,3,2,80,0,7,6,3,1,0,0,0
10360,36,Male,No,Travel_Frequently,541,3,4,Medical,1,1,48,2,3,Sales Executive,4,Married,9699,7246,4,Y,No,11,3,1,80,1,16,2,3,13,9,1,12
10361,57,Male,No,Travel_Rarely,593,1,4,Medical,1,4,88,3,2,Healthcare Representative,3,Married,6755,2967,2,Y,No,11,3,3,80,0,15,2,3,3,2,1,2
10362,40,Female,No,Travel_Rarely,1171,10,4,Life Sciences,1,4,46,4,1,Laboratory Technician,3,Married,2213,22495,3,Y,Yes,13,3,3,80,1,10,3,3,7,7,1,7
10363,21,Male,No,Non-Travel,895,9,2,Medical,1,1,39,3,1,Sales Representative,4,Single,2610,2851,1,Y,No,24,4,3,80,0,3,3,2,3,2,2,2
10364,33,Female,Yes,Travel_Rarely,350,5,3,Marketing,1,4,34,3,1,Sales Representative,3,Single,2851,9150,1,Y,Yes,13,3,2,80,0,1,2,3,1,0,0,0
10365,37,Female,No,Travel_Rarely,921,10,3,Medical,1,3,98,3,1,Laboratory Technician,1,Married,3452,17663,6,Y,No,20,4,2,80,1,17,3,3,5,4,0,3
10366,46,Female,No,Non-Travel,1144,7,4,Medical,1,3,30,3,2,Manufacturing Director,3,Married,5258,16044,2,Y,No,14,3,3,80,0,7,2,4,1,0,0,0
10367,41,Male,Yes,Travel_Frequently,143,4,3,Marketing,1,1,56,3,2,Sales Executive,2,Single,9355,9558,1,Y,No,18,3,3,80,0,8,5,3,8,7,7,7
10368,50,Male,No,Travel_Rarely,1046,10,3,Technical Degree,1,4,100,2,3,Healthcare Representative,4,Single,10496,2755,6,Y,No,15,3,4,80,0,20,2,3,4,3,1,3
10369,40,Male,Yes,Travel_Rarely,575,22,2,Marketing,1,3,68,2,2,Sales Executive,3,Married,6380,6110,2,Y,Yes,12,3,1,80,2,8,6,3,6,4,1,0
10370,31,Male,No,Travel_Rarely,408,9,4,Life Sciences,1,3,42,2,1,Research Scientist,2,Single,2657,7551,0,Y,Yes,16,3,4,80,0,3,5,3,2,2,2,2
10371,21,Female,Yes,Travel_Rarely,156,12,3,Life Sciences,1,3,90,4,1,Sales Representative,2,Single,2716,25422,1,Y,No,15,3,4,80,0,1,0,3,1,0,0,0
10372,29,Male,No,Travel_Rarely,1283,23,3,Life Sciences,1,4,54,3,1,Research Scientist,4,Single,2201,18168,9,Y,No,16,3,4,80,0,6,4,3,3,2,1,2
10373,35,Male,No,Travel_Rarely,755,9,4,Life Sciences,1,3,97,2,2,Healthcare Representative,2,Single,6540,19394,9,Y,No,19,3,3,80,0,10,5,3,1,1,0,0
10374,27,Male,No,Travel_Rarely,1469,1,2,Medical,1,4,82,3,1,Laboratory Technician,2,Divorced,3816,17881,1,Y,No,11,3,2,80,1,5,2,3,5,2,0,4
10375,28,Male,No,Travel_Rarely,304,9,4,Life Sciences,1,2,92,3,2,Sales Executive,4,Single,5253,20750,1,Y,No,16,3,4,80,0,7,1,3,7,5,0,7
10376,49,Male,No,Travel_Rarely,1261,7,3,Other,1,2,31,2,3,Healthcare Representative,3,Single,10965,12066,8,Y,No,24,4,3,80,0,26,2,3,5,2,0,0
10377,51,Female,No,Travel_Rarely,1178,14,2,Life Sciences,1,3,87,3,2,Sales Executive,4,Married,4936,14862,4,Y,No,11,3,3,80,1,18,2,2,7,7,0,7
10378,36,Female,No,Travel_Rarely,329,2,3,Life Sciences,1,4,96,3,1,Research Scientist,3,Married,2543,11868,4,Y,No,13,3,2,80,1,6,3,3,2,2,2,2
10379,34,Male,Yes,Non-Travel,1362,19,3,Marketing,1,1,67,4,2,Sales Executive,4,Single,5304,4652,8,Y,Yes,13,3,2,80,0,9,3,2,5,2,0,4
10380,55,Female,No,Travel_Rarely,1311,2,3,Life Sciences,1,3,97,3,4,Manager,4,Single,16659,23258,2,Y,Yes,13,3,3,80,0,30,2,3,5,4,1,2
10381,24,Female,No,Travel_Rarely,1371,10,4,Marketing,1,4,77,3,2,Sales Executive,3,Divorced,4260,5915,1,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3
10382,30,Male,No,Travel_Rarely,202,2,1,Technical Degree,1,3,72,3,1,Sales Representative,2,Married,2476,17434,1,Y,No,18,3,1,80,1,1,3,3,1,0,0,0
10383,26,Male,Yes,Travel_Frequently,575,3,1,Technical Degree,1,3,73,3,1,Research Scientist,1,Single,3102,6582,0,Y,No,22,4,3,80,0,7,2,3,6,4,0,4
10384,22,Female,No,Travel_Rarely,253,11,3,Medical,1,1,43,3,1,Research Scientist,2,Married,2244,24440,1,Y,No,13,3,4,80,1,2,1,3,2,1,1,2
10385,36,Male,No,Travel_Rarely,164,2,2,Medical,1,2,61,2,3,Sales Executive,3,Married,7596,3809,1,Y,No,13,3,2,80,2,10,2,3,10,9,9,0
10386,30,Male,Yes,Travel_Frequently,464,4,3,Technical Degree,1,3,40,3,1,Research Scientist,4,Single,2285,3427,9,Y,Yes,23,4,3,80,0,3,4,3,1,0,0,0
10387,37,Female,No,Travel_Rarely,1107,14,3,Life Sciences,1,4,95,3,1,Laboratory Technician,1,Divorced,3034,26914,1,Y,No,12,3,3,80,1,18,2,2,18,7,12,17
10388,40,Female,No,Travel_Rarely,759,2,2,Marketing,1,4,46,3,2,Sales Executive,2,Divorced,5715,22553,7,Y,No,12,3,3,80,2,8,5,3,5,4,1,3
10389,42,Female,No,Travel_Rarely,201,1,4,Life Sciences,1,2,95,3,1,Laboratory Technician,1,Divorced,2576,20490,3,Y,No,16,3,2,80,1,8,5,3,5,2,1,2
10390,37,Male,No,Travel_Rarely,1305,10,4,Life Sciences,1,3,49,3,2,Manufacturing Director,2,Single,4197,21123,2,Y,Yes,12,3,4,80,0,18,2,2,1,0,0,1
10391,43,Male,No,Travel_Rarely,982,12,3,Life Sciences,1,1,59,2,4,Research Director,2,Divorced,14336,4345,1,Y,No,11,3,3,80,1,25,3,3,25,10,3,9
10392,40,Female,No,Travel_Rarely,555,2,3,Medical,1,2,78,2,2,Laboratory Technician,3,Married,3448,13436,6,Y,No,22,4,2,80,1,20,3,3,1,0,0,0
10393,54,Male,No,Travel_Rarely,821,5,2,Medical,1,1,86,3,5,Research Director,1,Married,19406,8509,4,Y,No,11,3,3,80,1,24,4,2,4,2,1,2
10394,34,Female,No,Non-Travel,1381,4,4,Marketing,1,3,72,3,2,Sales Executive,3,Married,6538,12740,9,Y,No,15,3,1,80,1,6,3,3,3,2,1,2
10395,31,Female,No,Travel_Rarely,480,7,2,Medical,1,2,31,3,2,Manufacturing Director,1,Married,4306,4156,1,Y,No,12,3,2,80,1,13,5,1,13,10,3,12
10396,43,Male,No,Travel_Frequently,313,21,3,Medical,1,4,61,3,1,Laboratory Technician,4,Married,2258,15238,7,Y,No,20,4,1,80,1,8,1,3,3,2,1,2
10397,43,Female,No,Travel_Rarely,1473,8,4,Other,1,3,74,3,2,Healthcare Representative,3,Divorced,4522,2227,4,Y,Yes,14,3,4,80,0,8,3,3,5,2,0,2
10398,25,Female,No,Travel_Rarely,891,4,2,Life Sciences,1,2,99,2,2,Sales Executive,4,Single,4487,12090,1,Y,Yes,11,3,2,80,0,5,3,3,5,4,1,3
10399,37,Female,No,Non-Travel,1063,25,5,Medical,1,2,72,3,2,Research Scientist,3,Married,4449,23866,3,Y,Yes,15,3,1,80,2,15,2,3,13,11,10,7
10400,31,Male,No,Travel_Rarely,329,1,2,Life Sciences,1,4,98,2,1,Laboratory Technician,1,Married,2218,16193,1,Y,No,12,3,3,80,1,4,3,3,4,2,3,2
10401,39,Male,No,Travel_Frequently,1218,1,1,Life Sciences,1,2,52,3,5,Manager,3,Divorced,19197,8213,1,Y,Yes,14,3,3,80,1,21,3,3,21,8,1,6
10402,56,Female,No,Travel_Frequently,906,6,3,Life Sciences,1,3,86,4,4,Sales Executive,1,Married,13212,18256,9,Y,No,11,3,4,80,3,36,0,2,7,7,7,7
10403,30,Female,No,Travel_Rarely,1082,12,3,Technical Degree,1,2,83,3,2,Sales Executive,3,Single,6577,19558,0,Y,No,11,3,2,80,0,6,6,3,5,4,4,4
10404,41,Male,No,Travel_Rarely,645,1,3,Marketing,1,2,49,4,3,Sales Executive,1,Married,8392,19566,1,Y,No,16,3,3,80,1,10,2,3,10,7,0,7
10405,28,Male,No,Travel_Rarely,1300,17,2,Medical,1,3,79,3,2,Laboratory Technician,1,Divorced,4558,13535,1,Y,No,12,3,4,80,1,10,2,3,10,0,1,8
10406,25,Male,Yes,Travel_Rarely,688,3,3,Medical,1,1,91,3,1,Laboratory Technician,1,Married,4031,9396,5,Y,No,13,3,3,80,1,6,5,3,2,2,0,2
10407,52,Male,No,Travel_Rarely,319,3,3,Medical,1,4,39,2,3,Manufacturing Director,3,Married,7969,19609,2,Y,Yes,14,3,3,80,0,28,4,3,5,4,0,4
10408,45,Male,No,Travel_Rarely,192,10,2,Life Sciences,1,1,69,3,1,Research Scientist,4,Married,2654,9655,3,Y,No,21,4,4,80,2,8,3,2,2,2,0,2
10409,52,Female,No,Travel_Rarely,1490,4,2,Life Sciences,1,4,30,3,4,Manager,4,Married,16555,10310,2,Y,No,13,3,4,80,0,31,2,1,5,2,1,4
10410,42,Female,No,Travel_Frequently,532,29,2,Life Sciences,1,1,92,3,2,Research Scientist,3,Divorced,4556,12932,2,Y,No,11,3,2,80,1,19,3,3,5,4,0,2
10411,30,Female,No,Travel_Rarely,317,2,3,Life Sciences,1,3,43,1,2,Manufacturing Director,4,Single,6091,24793,2,Y,No,20,4,3,80,0,11,2,3,5,4,0,2
10412,60,Female,No,Travel_Rarely,422,7,3,Life Sciences,1,1,41,3,5,Manager,1,Married,19566,3854,5,Y,No,11,3,4,80,0,33,5,1,29,8,11,10
10413,46,Female,No,Travel_Rarely,1485,18,3,Medical,1,3,87,3,2,Manufacturing Director,3,Divorced,4810,26314,2,Y,No,14,3,3,80,1,19,5,2,10,7,0,8
10414,42,Female,No,Travel_Frequently,1368,28,4,Technical Degree,1,4,88,2,2,Healthcare Representative,4,Married,4523,4386,0,Y,No,11,3,4,80,3,7,4,4,6,5,0,4
10415,24,Female,Yes,Travel_Rarely,1448,1,1,Technical Degree,1,1,62,3,1,Sales Representative,2,Single,3202,21972,1,Y,Yes,16,3,2,80,0,6,4,3,5,3,1,4
10416,34,Female,Yes,Travel_Frequently,296,6,2,Marketing,1,4,33,1,1,Sales Representative,3,Divorced,2351,12253,0,Y,No,16,3,4,80,1,3,3,2,2,2,1,0
10417,38,Male,No,Travel_Frequently,1490,2,2,Life Sciences,1,4,42,3,1,Laboratory Technician,4,Married,1702,12106,1,Y,Yes,23,4,3,80,1,1,3,3,1,0,0,0
10418,40,Female,No,Travel_Rarely,1398,2,4,Life Sciences,1,3,79,3,5,Manager,3,Married,18041,13022,0,Y,No,14,3,4,80,0,21,2,3,20,15,1,12
10419,26,Female,No,Travel_Rarely,1349,23,3,Life Sciences,1,1,90,3,1,Research Scientist,4,Divorced,2886,3032,1,Y,No,22,4,2,80,2,3,3,1,3,2,0,2
10420,30,Male,No,Non-Travel,1400,3,3,Life Sciences,1,3,53,3,1,Laboratory Technician,4,Married,2097,16734,4,Y,No,15,3,3,80,1,9,3,1,5,3,1,4
10421,29,Male,No,Travel_Rarely,986,3,4,Medical,1,2,93,2,3,Research Director,3,Married,11935,21526,1,Y,No,18,3,3,80,0,10,2,3,10,2,0,7
10422,29,Female,Yes,Travel_Rarely,408,25,5,Technical Degree,1,3,71,2,1,Research Scientist,2,Married,2546,18300,5,Y,No,16,3,2,80,0,6,2,4,2,2,1,1
10423,19,Male,Yes,Travel_Rarely,489,2,2,Technical Degree,1,1,52,2,1,Human Resources,4,Single,2564,18437,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0
10424,30,Female,No,Non-Travel,1398,22,4,Other,1,3,69,3,3,Sales Executive,1,Married,8412,2890,0,Y,No,11,3,3,80,0,10,3,3,9,8,7,8
10425,57,Male,No,Travel_Rarely,210,29,3,Marketing,1,1,56,2,4,Manager,4,Divorced,14118,22102,3,Y,No,12,3,3,80,1,32,3,2,1,0,0,0
10426,50,Male,No,Travel_Rarely,1099,29,4,Life Sciences,1,2,88,2,4,Manager,3,Married,17046,9314,0,Y,No,15,3,2,80,1,28,2,3,27,10,15,7
10427,30,Female,No,Non-Travel,1116,2,3,Medical,1,3,49,3,1,Laboratory Technician,4,Single,2564,7181,0,Y,No,14,3,3,80,0,12,2,2,11,7,6,7
10428,60,Female,No,Travel_Frequently,1499,28,3,Marketing,1,3,80,2,3,Sales Executive,1,Married,10266,2845,4,Y,No,19,3,4,80,0,22,5,4,18,13,13,11
10429,47,Female,No,Travel_Rarely,983,2,2,Medical,1,1,65,3,2,Manufacturing Director,4,Divorced,5070,7389,5,Y,No,13,3,3,80,3,20,2,3,5,0,0,4
10430,46,Male,No,Travel_Rarely,1009,2,3,Life Sciences,1,1,51,3,4,Research Director,3,Married,17861,2288,6,Y,No,13,3,3,80,0,26,2,1,3,2,0,1
10431,35,Male,No,Travel_Rarely,144,22,3,Life Sciences,1,4,46,1,1,Laboratory Technician,3,Single,4230,19225,0,Y,No,15,3,3,80,0,6,2,3,5,4,4,3
10432,54,Female,No,Travel_Rarely,548,8,4,Life Sciences,1,3,42,3,2,Laboratory Technician,3,Single,3780,23428,7,Y,No,11,3,3,80,0,19,3,3,1,0,0,0
10433,34,Male,No,Travel_Rarely,1303,2,4,Life Sciences,1,4,62,2,1,Research Scientist,3,Divorced,2768,8416,3,Y,No,12,3,3,80,1,14,3,3,7,3,5,7
10434,46,Female,No,Travel_Rarely,1125,10,3,Marketing,1,3,94,2,3,Sales Executive,4,Married,9071,11563,2,Y,Yes,19,3,3,80,1,15,3,3,3,2,1,2
10435,31,Male,No,Travel_Rarely,1274,9,1,Life Sciences,1,3,33,3,3,Manufacturing Director,2,Divorced,10648,14394,1,Y,No,25,4,4,80,1,13,6,4,13,8,0,8
10436,33,Male,Yes,Travel_Rarely,1277,15,1,Medical,1,2,56,3,3,Manager,3,Married,13610,24619,7,Y,Yes,12,3,4,80,0,15,2,4,7,6,7,7
10437,33,Male,Yes,Travel_Rarely,587,10,1,Medical,1,1,38,1,1,Laboratory Technician,4,Divorced,3408,6705,7,Y,No,13,3,1,80,3,8,2,3,4,3,1,3
10438,30,Male,No,Travel_Rarely,413,7,1,Marketing,1,4,57,3,1,Sales Representative,2,Single,2983,18398,0,Y,No,14,3,1,80,0,4,3,3,3,2,1,2
10439,35,Male,No,Travel_Rarely,1276,16,3,Life Sciences,1,4,72,3,3,Healthcare Representative,3,Married,7632,14295,4,Y,Yes,12,3,3,80,0,10,2,3,8,7,0,0
10440,31,Male,Yes,Travel_Frequently,534,20,3,Life Sciences,1,1,66,3,3,Healthcare Representative,3,Married,9824,22908,3,Y,No,12,3,1,80,0,12,2,3,1,0,0,0
10441,34,Female,Yes,Travel_Frequently,988,23,3,Human Resources,1,2,43,3,3,Human Resources,1,Divorced,9950,11533,9,Y,Yes,15,3,3,80,3,11,2,3,3,2,0,2
10442,42,Male,No,Travel_Frequently,1474,5,2,Other,1,2,97,3,1,Laboratory Technician,3,Married,2093,9260,4,Y,No,17,3,4,80,1,8,4,3,2,2,2,0
10443,36,Male,No,Non-Travel,635,10,4,Medical,1,2,32,3,3,Sales Executive,4,Single,9980,15318,1,Y,No,14,3,4,80,0,10,3,2,10,3,9,7
10444,22,Male,Yes,Travel_Frequently,1368,4,1,Technical Degree,1,3,99,2,1,Laboratory Technician,3,Single,3894,9129,5,Y,No,16,3,3,80,0,4,3,3,2,2,1,2
10445,48,Female,No,Travel_Rarely,163,2,5,Marketing,1,2,37,3,2,Sales Executive,4,Married,4051,19658,2,Y,No,14,3,1,80,1,14,2,3,9,7,6,7
10446,55,Female,No,Travel_Rarely,1117,18,5,Life Sciences,1,1,83,3,4,Manager,2,Single,16835,9873,3,Y,No,23,4,4,80,0,37,2,3,10,9,7,7
10447,41,Male,No,Non-Travel,267,10,2,Life Sciences,1,4,56,3,2,Sales Executive,4,Single,6230,13430,7,Y,No,14,3,4,80,0,16,3,3,14,3,1,10
10448,35,Male,No,Travel_Rarely,619,1,3,Marketing,1,2,85,3,2,Sales Executive,3,Married,4717,18659,9,Y,No,11,3,3,80,0,15,2,3,11,9,6,9
10449,40,Female,No,Travel_Rarely,302,6,3,Life Sciences,1,2,75,3,4,Manufacturing Director,3,Single,13237,20364,7,Y,No,15,3,3,80,0,22,3,3,20,6,5,13
10450,39,Female,No,Travel_Frequently,443,8,1,Life Sciences,1,3,48,3,1,Laboratory Technician,3,Married,3755,17872,1,Y,No,11,3,1,80,1,8,3,3,8,3,0,7
10451,31,Male,No,Travel_Rarely,828,2,1,Life Sciences,1,2,77,3,2,Sales Executive,4,Single,6582,8346,4,Y,Yes,13,3,3,80,0,10,2,4,6,5,0,5
10452,42,Male,No,Travel_Rarely,319,24,3,Medical,1,4,56,3,3,Manufacturing Director,1,Married,7406,6950,1,Y,Yes,21,4,4,80,1,10,5,2,10,9,5,8
10453,45,Male,No,Travel_Rarely,561,2,3,Other,1,4,61,3,2,Sales Executive,2,Married,4805,16177,0,Y,No,19,3,2,80,1,9,3,4,8,7,3,7
10454,26,Female,Yes,Travel_Frequently,426,17,4,Life Sciences,1,2,58,3,1,Human Resources,3,Divorced,2741,22808,0,Y,Yes,11,3,2,80,1,8,2,2,7,7,1,0
10455,29,Male,No,Travel_Rarely,232,19,3,Technical Degree,1,4,34,3,2,Manufacturing Director,4,Divorced,4262,22645,4,Y,No,12,3,2,80,2,8,2,4,3,2,1,2
10456,33,Female,No,Travel_Rarely,922,1,5,Medical,1,1,95,4,4,Research Director,3,Divorced,16184,22578,4,Y,No,19,3,3,80,1,10,2,3,6,1,0,5
10457,31,Male,No,Travel_Rarely,688,7,3,Life Sciences,1,3,44,2,3,Manager,4,Divorced,11557,25291,9,Y,No,21,4,3,80,1,10,3,2,5,4,0,1
10458,18,Male,Yes,Travel_Frequently,1306,5,3,Marketing,1,2,69,3,1,Sales Representative,2,Single,1878,8059,1,Y,Yes,14,3,4,80,0,0,3,3,0,0,0,0
10459,40,Male,No,Non-Travel,1094,28,3,Other,1,3,58,1,3,Sales Executive,1,Divorced,10932,11373,3,Y,No,15,3,3,80,1,20,2,3,1,0,0,1
10460,41,Female,No,Non-Travel,509,2,4,Other,1,1,62,2,2,Healthcare Representative,3,Single,6811,2112,2,Y,Yes,17,3,1,80,0,10,3,3,8,7,0,7
10461,26,Male,No,Travel_Rarely,775,29,2,Medical,1,1,45,3,2,Sales Executive,3,Divorced,4306,4267,5,Y,No,12,3,1,80,2,8,5,3,0,0,0,0
10462,35,Female,No,Travel_Rarely,195,1,3,Medical,1,1,80,3,2,Sales Executive,3,Single,4859,6698,1,Y,No,16,3,4,80,0,5,3,3,5,4,0,3
10463,34,Male,No,Travel_Rarely,258,21,4,Life Sciences,1,4,74,4,2,Sales Executive,4,Single,5337,19921,1,Y,No,12,3,4,80,0,10,3,3,10,7,5,7
10464,26,Male,Yes,Travel_Rarely,471,24,3,Technical Degree,1,3,66,1,1,Laboratory Technician,4,Single,2340,23213,1,Y,Yes,18,3,2,80,0,1,3,1,1,0,0,0
10465,37,Female,No,Travel_Rarely,799,1,3,Technical Degree,1,2,59,3,3,Manufacturing Director,4,Single,7491,23848,4,Y,No,17,3,4,80,0,12,3,4,6,5,1,2
10466,46,Female,No,Travel_Frequently,1034,18,1,Medical,1,1,86,3,3,Healthcare Representative,3,Married,10527,8984,5,Y,No,11,3,4,80,0,28,3,2,2,2,1,2
10467,41,Female,No,Travel_Rarely,1276,2,5,Life Sciences,1,2,91,3,4,Manager,1,Married,16595,5626,7,Y,No,16,3,2,80,1,22,2,3,18,16,11,8
10468,37,Male,No,Non-Travel,142,9,4,Medical,1,1,69,3,3,Sales Executive,2,Divorced,8834,24666,1,Y,No,13,3,4,80,1,9,6,3,9,5,7,7
10469,52,Male,No,Travel_Rarely,956,6,2,Technical Degree,1,4,78,3,2,Research Scientist,1,Divorced,5577,22087,3,Y,Yes,12,3,2,80,2,18,3,3,10,9,6,9
10470,32,Male,Yes,Non-Travel,1474,11,4,Other,1,4,60,4,2,Sales Executive,3,Married,4707,23914,8,Y,No,12,3,4,80,0,6,2,3,4,2,1,2
10471,24,Male,No,Travel_Frequently,535,24,3,Medical,1,4,38,3,1,Sales Representative,4,Married,2400,5530,0,Y,No,13,3,3,80,2,3,3,3,2,2,2,1
10472,38,Female,No,Travel_Rarely,1495,10,3,Medical,1,3,76,3,2,Healthcare Representative,3,Married,9824,22174,3,Y,No,19,3,3,80,1,18,4,3,1,0,0,0
10473,37,Female,No,Travel_Rarely,446,1,4,Life Sciences,1,2,65,3,2,Manufacturing Director,2,Married,6447,15701,6,Y,No,12,3,2,80,1,8,2,2,6,5,4,3
10474,49,Male,No,Travel_Rarely,1245,18,4,Life Sciences,1,4,58,2,5,Research Director,3,Divorced,19502,2125,1,Y,Yes,17,3,3,80,1,31,5,3,31,9,0,9
10475,24,Male,No,Travel_Rarely,691,23,3,Medical,1,2,89,4,1,Research Scientist,4,Married,2725,21630,1,Y,Yes,11,3,2,80,2,6,3,3,6,5,1,4
10476,26,Male,No,Travel_Rarely,703,28,2,Marketing,1,1,66,3,2,Sales Executive,2,Married,6272,7428,1,Y,No,20,4,4,80,2,6,5,4,5,3,1,4
10477,24,Male,No,Travel_Rarely,823,17,2,Other,1,4,94,2,1,Laboratory Technician,2,Married,2127,9100,1,Y,No,21,4,4,80,1,1,2,3,1,0,0,0
10478,50,Male,No,Travel_Frequently,1246,3,3,Medical,1,1,99,3,5,Manager,2,Married,18200,7999,1,Y,No,11,3,3,80,1,32,2,3,32,5,10,7
10479,25,Male,No,Travel_Rarely,622,13,1,Medical,1,2,40,3,1,Sales Representative,3,Married,2096,26376,1,Y,No,11,3,3,80,0,7,1,3,7,4,0,6
10480,24,Female,Yes,Travel_Frequently,1287,7,3,Life Sciences,1,1,55,3,1,Laboratory Technician,3,Married,2886,14168,1,Y,Yes,16,3,4,80,1,6,4,3,6,3,1,2
10481,30,Male,Yes,Travel_Frequently,448,12,4,Life Sciences,1,2,74,2,1,Sales Representative,1,Married,2033,14470,1,Y,No,18,3,3,80,1,1,2,4,1,0,0,0
10482,34,Male,No,Travel_Rarely,254,1,2,Life Sciences,1,2,83,2,1,Research Scientist,4,Married,3622,22794,1,Y,Yes,13,3,4,80,1,6,3,3,6,5,1,3
10483,31,Male,Yes,Travel_Rarely,1365,13,4,Medical,1,2,46,3,2,Sales Executive,1,Divorced,4233,11512,2,Y,No,17,3,3,80,0,9,2,1,3,1,1,2
10484,35,Male,No,Travel_Rarely,538,25,2,Other,1,1,54,2,2,Laboratory Technician,4,Single,3681,14004,4,Y,No,14,3,4,80,0,9,3,3,3,2,0,2
10485,31,Male,No,Travel_Rarely,525,6,4,Medical,1,1,66,4,2,Sales Executive,4,Divorced,5460,6219,4,Y,No,22,4,4,80,2,13,4,4,7,7,5,7
10486,27,Female,No,Travel_Rarely,798,6,4,Medical,1,1,66,2,1,Research Scientist,3,Divorced,2187,5013,0,Y,No,12,3,3,80,2,6,5,2,5,3,0,3
10487,37,Male,No,Travel_Rarely,558,2,3,Marketing,1,4,75,3,2,Sales Executive,3,Married,9602,3010,4,Y,Yes,11,3,3,80,1,17,3,2,3,0,1,0
10488,20,Female,No,Travel_Rarely,959,1,3,Life Sciences,1,4,83,2,1,Research Scientist,2,Single,2836,11757,1,Y,No,13,3,4,80,0,1,0,4,1,0,0,0
10489,42,Female,No,Travel_Rarely,622,2,4,Life Sciences,1,3,81,3,2,Healthcare Representative,4,Married,4089,5718,1,Y,No,13,3,2,80,2,10,4,3,10,2,2,2
10490,43,Male,No,Travel_Rarely,782,6,4,Other,1,2,50,2,4,Research Director,4,Divorced,16627,2671,4,Y,Yes,14,3,3,80,1,21,3,2,1,0,0,0
10491,38,Female,No,Travel_Rarely,362,1,1,Life Sciences,1,3,43,3,1,Research Scientist,1,Single,2619,14561,3,Y,No,17,3,4,80,0,8,3,2,0,0,0,0
10492,43,Male,No,Travel_Frequently,1001,9,5,Medical,1,4,72,3,2,Laboratory Technician,3,Divorced,5679,19627,3,Y,Yes,13,3,2,80,1,10,3,3,8,7,4,7
10493,48,Female,No,Travel_Rarely,1236,1,4,Life Sciences,1,4,40,2,4,Manager,1,Married,15402,17997,7,Y,No,11,3,1,80,1,21,3,1,3,2,0,2
10494,44,Female,No,Travel_Rarely,1112,1,4,Life Sciences,1,1,50,2,2,Human Resources,3,Single,5985,26894,4,Y,No,11,3,2,80,0,10,1,4,2,2,0,2
10495,34,Female,No,Travel_Rarely,204,14,3,Technical Degree,1,3,31,3,1,Sales Representative,3,Divorced,2579,2912,1,Y,Yes,18,3,4,80,2,8,3,3,8,2,0,6
10496,27,Male,Yes,Travel_Rarely,1420,2,1,Marketing,1,3,85,3,1,Sales Representative,1,Divorced,3041,16346,0,Y,No,11,3,2,80,1,5,3,3,4,3,0,2
10497,21,Male,No,Travel_Rarely,1343,22,1,Technical Degree,1,3,49,3,1,Sales Representative,3,Single,3447,24444,1,Y,No,11,3,3,80,0,3,2,3,3,2,1,2
10498,44,Male,No,Travel_Rarely,1315,3,4,Other,1,4,35,3,5,Manager,4,Married,19513,9358,4,Y,Yes,12,3,1,80,1,26,2,4,2,2,0,1
10499,22,Male,No,Travel_Rarely,604,6,1,Medical,1,1,69,3,1,Research Scientist,3,Married,2773,12145,0,Y,No,20,4,4,80,0,3,3,3,2,2,2,2
